POC,"Pos(x,y)",Block_size(w*h),SplitSeries
0,"112,20",4*4,70288417
0,"116,16",4*8,3179553
0,"120,16",4*8,3179553
0,"124,16",4*8,3179553
0,"112,24",4*4,70288417
0,"112,28",4*4,70288417
0,"116,24",4*8,3179553
0,"120,24",4*4,70288417
0,"120,28",4*4,70288417
0,"124,24",4*4,70288417
0,"124,28",4*4,70288417
0,"64,32",4*8,3179553
0,"68,32",4*4,70288417
0,"68,36",4*4,70288417
0,"72,32",4*4,102794273
0,"76,32",4*4,102794273
0,"72,36",8*4,2130977
0,"64,40",4*4,70288417
0,"64,44",4*4,70288417
0,"68,40",4*4,70288417
0,"68,44",4*4,70288417
0,"72,40",4*4,102794273
0,"76,40",4*4,102794273
0,"72,44",4*4,102794273
0,"76,44",4*4,102794273
0,"80,32",4*4,102794273
0,"84,32",4*4,102794273
0,"80,36",4*4,102794273
0,"84,36",4*4,102794273
0,"88,32",8*8,33825
0,"80,40",8*8,33825
0,"88,40",8*4,2130977
0,"88,44",8*4,2130977
0,"64,48",4*4,102794273
0,"68,48",4*4,102794273
0,"64,52",4*4,102794273
0,"68,52",4*4,102794273
0,"72,48",4*4,70288417
0,"72,52",4*4,70288417
0,"76,48",4*8,3179553
0,"64,56",4*4,70288417
0,"64,60",4*4,70288417
0,"68,56",4*4,70288417
0,"68,60",4*4,70288417
0,"72,56",4*4,70288417
0,"72,60",4*4,70288417
0,"76,56",4*8,3179553
0,"80,48",4*4,70288417
0,"80,52",4*4,70288417
0,"84,48",4*4,70288417
0,"84,52",4*4,70288417
0,"88,48",4*4,102794273
0,"92,48",4*4,102794273
0,"88,52",4*4,102794273
0,"92,52",4*4,102794273
0,"80,56",4*8,3179553
0,"84,56",4*8,3179553
0,"88,56",4*8,3179553
0,"92,56",4*4,70288417
0,"92,60",4*4,70288417
0,"96,32",8*4,2130977
0,"96,36",4*4,102794273
0,"100,36",4*4,102794273
0,"104,32",4*4,102794273
0,"108,32",4*4,102794273
0,"104,36",8*4,2130977
0,"96,40",4*4,102794273
0,"100,40",4*4,102794273
0,"96,44",8*4,2130977
0,"104,40",4*4,102794273
0,"108,40",4*4,102794273
0,"104,44",4*4,102794273
0,"108,44",4*4,102794273
0,"112,32",4*4,103941153
0,"116,32",4*4,103941153
0,"120,32",4*4,103941153
0,"124,32",4*4,103941153
0,"112,36",4*4,72483873
